user,item
1125,17013
5891,29688
2864,36198
2918,85161
754,8864
528,32616
6204,51233
1362,64538
5962,68511
5517,99416
1501,907
3129,48415
2069,11595
3927,92272
1562,2102
176,2662
4021,5174
1163,4810
4705,96205
1652,6714
1055,6912
4479,2791
4443,95016
4280,8873
4470,75345
1029,29621
1806,71480
6247,49969
6359,34592
4177,71506
1004,55541
271,25664
6263,84305
3927,23253
6193,21302
1378,8230
1331,4369
6713,56927
2174,14189
6102,19631
907,52670
3893,92017
1489,14875
4406,51446
2688,82195
6553,41460
1892,72429
3851,7668
4457,1069
6870,103759
2095,74962
2890,921
6464,21750
271,25648
2575,81199
1232,48814
4758,58799
1161,1815
2831,83800
5872,100725
1407,65581
6464,79310
2450,79470
260,24975
2378,2038
2826,2584
256,23108
6029,101339
750,48783
720,47370
1363,64719
6443,77986
2354,14930
1584,68280
1348,64451
5114,98086
537,21299
4796,62907
7087,66681
5697,100090
1444,46511
5599,53702
3876,9913
1813,33832
3141,490
574,42817
2394,78397
6692,42808
3794,38306
1765,70998
2321,32473
1925,72756
5747,100233
2696,53220
1455,35965
1518,2766
495,40306
2412,1371
1120,10642
2855,51500
2943,10048
2249,76645
6995,16634
1618,68666
3370,74181
6014,64639
4713,96263
889,51968
750,7583
1176,15646
2933,42992
4994,91153
6988,70900
6050,51321
7218,60211
2658,12876
4029,27102
2378,58830
5540,99456
5494,70285
1494,31700
6009,31793
143,13976
3851,91565
2448,26376
6760,103454
6068,82491
3771,63060
7112,51817
983,54929
336,31618
3745,26166
2412,78665
2241,12485
256,17220
3040,40301
160,6730
280,24354
3144,47802
4909,21638
5871,100713
2074,74691
2001,25289
1193,61430
2394,78416
1940,41247
856,51328
158,14472
1102,58548
2446,70723
4635,95875
386,14849
2214,75934
2279,8860
4634,74097
1712,26427
5910,6754
1385,16973
3505,89589
1888,5216
5660,4566
6637,5203
5309,98784
6345,4369
3801,46508
173,15112
4269,2467
5546,75435
2880,632
2330,77567
5245,14817
1274,58278
4420,490
4866,97171
2875,26895
6814,58892
0,660
2764,82907
7207,36652
2013,7987
5754,79570
2487,5178
4060,10842
4492,10842
1441,59641
2504,11025
164,4644
2923,42885
877,51817
2434,79094
3372,42299
6431,34087
2110,1055
3157,27568
68,8692
969,37935
2074,74748
1027,19006
1170,20010
4438,74787
4845,85619
7121,12116
1493,27600
173,15052
2986,54058
2414,78830
6573,27273
6359,102401
2379,78095
6699,36914
2642,8341
1363,1981
2072,51887
2689,5221
6179,9485
726,47817
6097,12682
1921,1962
4438,45965
6695,11743
4829,17147
7028,24528
2485,79920
1179,11456
1191,61387
5662,99954
7036,104235
4414,2781
4548,95520
4133,58457
2329,77543
6459,102714
2905,15373
193,16255
2585,67076
2758,64444
5811,94261
2915,84699
1374,64863
3755,17180
4956,97501
4729,85477
741,48388
5662,220
6731,103403
933,53747
5670,100027
4692,2707
2279,15525
4314,65174
2064,74607
5954,11764
2020,4066
271,9245
7181,71440
5166,11883
2708,82421
2581,50357
6870,11600
3298,7977
2886,84651
167,14851
60,6591
3501,2739
912,8859
574,645
234,19718
5648,85283
5846,528
6859,91694
2153,75394
5357,73383
1229,1069
4067,93291
1179,4370
4012,85535
578,27205
5662,84014
1170,60976
2917,15155
5310,2461
5809,85297
1378,8251
1041,56935
2698,72139
692,13838
2774,38603
7218,63716
2248,76612
700,25045
2828,83765
3992,92787
260,24916
1278,19322
2923,2680
175,15182
1165,2790
1516,16784
3207,598
3216,65222
6606,14798
2939,84602
3377,88978
6509,79116
4383,5302
1268,10052
1672,52399
1935,72817
6320,3587
4038,5153
2106,5257
6404,96
6248,36947
3074,38552
2064,74600
3604,2802
1167,26086
4833,67102
3298,2182
6812,69733
1662,69301
7210,66819
134,12890
3790,27606
5342,26332
2114,75155
523,2111
3872,63194
2211,75882
4566,95616
3475,89457
1225,61860
4833,42992
23,4195
2238,76489
4872,97198
1860,28753
1444,66206
1040,9992
6556,103047
1956,73099
7349,22349
603,43426
644,2739
1115,6561
3470,54484
7226,55298
2939,79686
3109,70725
2781,36296
4776,50364
1370,37098
2658,20004
1851,66755
5850,38551
967,54452
4635,95874
1027,29651
5971,97473
6100,74414
5734,29624
4091,25971
1988,2584
5132,8860
2744,2120
2995,29755
3231,36608
2001,2108
1251,62449
3911,92160
5160,44189
1029,36677
2747,6912
1957,73257
5014,97727
2362,77935
5923,45161
2030,30154
1704,7987
272,6663
6264,84704
1831,72002
1813,71705
2013,6401
2248,16634
5000,70059
2880,23295
1310,1987
1487,27828
2027,27204
6677,52284
3830,79401
