user,item
1125,96134
840,97444
840,93227
840,24937
840,13820
840,94572
840,68190
840,736
840,100805
840,53765
840,93398
1794,91181
1794,84095
1794,11091
1794,93717
1794,49465
1794,36090
1794,25214
1794,82393
1794,50918
1794,32588
5891,86908
2864,91887
2864,100610
2864,11559
2864,100776
46,51908
46,98437
46,95542
46,87180
376,45420
376,56407
376,100260
376,28011
376,31052
376,87180
376,95533
376,23188
376,72013
376,87258
2918,48859
2918,90937
290,11789
290,82293
290,24996
290,51701
290,3620
290,41557
290,70341
290,79710
290,63896
290,101778
754,97332
754,72798
754,51198
754,5481
528,81337
528,80730
528,85917
6204,63146
334,36492
334,53341
334,95331
334,36676
334,97896
334,96363
334,58019
334,49758
334,92644
334,82038
3688,91092
1362,69078
1362,88438
5962,104696
5962,94740
5962,61704
5517,90737
5517,67726
1501,43865
1501,23028
3129,53555
2069,3624
2069,97445
3927,2272
232,61607
232,4038
232,98483
232,98611
232,27556
232,75246
232,13939
232,4791
232,36969
232,42936
1806,72747
1806,92487
1562,50435
1562,71191
1562,82081
176,103488
176,82217
1163,61714
4705,31704
3442,102720
3442,71582
3442,18488
3442,63235
3442,29393
3442,65746
3442,52720
3442,955
3442,17426
1652,19490
1652,49128
1055,7244
1055,21904
4479,86896
221,89580
221,88430
221,76116
221,58733
221,68165
221,76324
221,89577
221,99186
221,38994
4443,35461
4443,103676
62,100536
62,89961
62,17014
62,65122
62,69909
62,81791
62,88996
62,33631
62,46115
62,17426
343,90384
343,51113
343,93228
343,8818
343,85372
343,35864
343,9578
343,52764
343,6167
343,60762
4280,8027
4280,60929
4470,2734
4470,44306
1029,1209
1029,5132
440,62735
440,8407
440,101968
440,60932
6247,48593
6247,81789
6247,21131
6359,67847
3997,16496
3997,29389
4177,41371
4177,7963
1004,71142
1004,82350
333,100576
333,100108
333,94938
333,74652
333,90668
333,11740
333,22646
333,82290
333,102026
271,93228
271,47426
271,74458
271,6893
271,21429
271,103318
6263,18020
6263,103033
6193,79709
1378,45660
1378,89992
1378,74954
1331,13643
1331,24452
3348,36402
3348,4234
3348,89725
3348,102643
6713,94108
6713,14639
6713,19104
2174,61435
2174,82756
2174,71518
6102,19092
6102,87707
907,83955
907,71364
3893,13643
3893,85890
1489,103770
4406,49300
2688,92452
